"MOVIMIENTO AL SOCIALISMO","13","SoB","CIUDAD AUTONOMA DE BUENOS AIRES","DIPUTADO NACIONAL TITULAR","GONZALEZ BAYON, MARTIN ANDRES","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CIUDAD AUTONOMA DE BUENOS AIRES","DIPUTADO NACIONAL TITULAR","FAGANELLO, NATALIA CELESTE","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CIUDAD AUTONOMA DE BUENOS AIRES","DIPUTADO NACIONAL TITULAR","QUINTEROS, OSCAR EDUARDO","3"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CIUDAD AUTONOMA DE BUENOS AIRES","DIPUTADO NACIONAL TITULAR","BRITO, MATIAS EMILIANO","4"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CIUDAD AUTONOMA DE BUENOS AIRES","DIPUTADO NACIONAL TITULAR","MASINI, FLORENCIA MARIEL","5"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CIUDAD AUTONOMA DE BUENOS AIRES","DIPUTADO NACIONAL TITULAR","MUÑOZ, VIOLETA","6"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CIUDAD AUTONOMA DE BUENOS AIRES","DIPUTADO NACIONAL TITULAR","CASTAGNINO, JOSE","7"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CIUDAD AUTONOMA DE BUENOS AIRES","DIPUTADO NACIONAL TITULAR","PULLEIRO, ANA LAURA","8"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CIUDAD AUTONOMA DE BUENOS AIRES","DIPUTADO NACIONAL TITULAR","GERON, BRENDA CARINA","9"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CIUDAD AUTONOMA DE BUENOS AIRES","DIPUTADO NACIONAL TITULAR","DOUDTCHITZKI, NICOLAS","10"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CIUDAD AUTONOMA DE BUENOS AIRES","DIPUTADO NACIONAL TITULAR","BEDOYA IDOYAGA, AGUEDA","11"
